PROTEOME_IDS,vfdb
GPHBMAFA_00516,0
GPHBMAFA_00517,0
GPHBMAFA_00518,0
GPHBMAFA_00519,0
GPHBMAFA_00520,0
GPHBMAFA_00521,0
GPHBMAFA_00522,0
GPHBMAFA_00523,0
GPHBMAFA_00524,0
GPHBMAFA_00525,0
GPHBMAFA_00526,0
GPHBMAFA_00527,0
GPHBMAFA_00528,0
GPHBMAFA_00529,0
GPHBMAFA_00530,0
GPHBMAFA_00531,0
GPHBMAFA_00532,0
GPHBMAFA_00533,0
GPHBMAFA_00534,0
GPHBMAFA_00535,0
GPHBMAFA_00536,0
GPHBMAFA_00537,0
GPHBMAFA_00538,0
GPHBMAFA_00539,1
GPHBMAFA_00540,0
GPHBMAFA_00541,0
GPHBMAFA_00542,0
GPHBMAFA_00543,0
GPHBMAFA_00544,0
GPHBMAFA_00545,0
GPHBMAFA_00547,0
GPHBMAFA_00548,0
GPHBMAFA_00549,0
GPHBMAFA_00550,0
GPHBMAFA_00551,0
